,,,,,,,,,,,,,,Type of Payment code,Vehicle Code
,,,135,Sat,Aug,14,11:50:01,2021,1583109,,,,4272,,
,,,136,Wed,Aug,18,07:26:20,2021,8808595,,,,4929,,
,,,137,Thu,Aug,,5,01:15:16,2021,1841800,,,,,
,,,138,Sat,Jul,31,00:28:44,2021,1825050,,,,4222,,
,,,139,Fri,Aug,13,09:54:01,2021,8490556,,,,4657,,
,,,140,Thu,Jul,29,23:02:42,2021,2549393,,,,4481,,
,,,141,Wed,Aug,11,13:15:55,2021,9636921,,,,4145,,
,,,142,Thu,Aug,19,21:13:57,2021,8899022,,,,4813,,
,,,143,Thu,Aug,19,08:46:24,2021,8112100,,,,4585,,
,,,144,Thu,Jul,29,16:02:19,2021,335366,,,,,,
,,,145,Sat,Jul,31,19:32:50,2021,1716955,,,,4584,,
,,,146,Sat,Aug,21,13:56:33,2021,4153555,,,,4225,,
,,,147,Sat,Jul,31,12:55:05,2021,5626263,,,,4719,,
,,,148,Fri,Aug,,6,23:05:57,2021,49472,,,,PTE,VC965
,,,149,Thu,Aug,,5,15:24:15,2021,2497636,,,,,
,,,150,Tue,Aug,,3,19:13:15,2021,7825358,,,,,
,,,151,Sat,Jul,31,11:27:59,2021,6084818,,,,4732,,
,,,152,Thu,Aug,19,18:53:39,2021,5455899,,,,4155,,
,,,153,Tue,Aug,17,22:11:51,2021,1849505,,,,4142,,
,,,154,Wed,Aug,18,19:49:38,2021,6114302,,,,4737,,
,,,155,Sun,Aug,15,12:34:18,2021,8064123,,,,4337,,
,,,156,Fri,Aug,,6,19:17:50,2021,538972,,,,VCB43,
,,,157,Fri,Jul,30,13:58:53,2021,6869546,,,,4092,,
,,,158,Mon,Aug,,2,16:00:33,2021,3766512,,,,,
,,,159,Fri,Aug,20,21:45:41,2021,3528403,,,,4610,,
,,,160,Fri,Aug,20,04:59:50,2021,4380057,,,,4980,,
,,,161,Sun,Aug,15,00:36:59,2021,7876599,,,,4295,,
,,,162,Fri,Aug,13,00:25:06,2021,969619,,,,,,
,,,163,Fri,Jul,30,13:42:03,2021,5763049,,,,4364,,
,,,164,Mon,Aug,16,05:46:00,2021,6079402,,,,4290,,
,,,165,Sun,Aug,,1,22:59:23,2021,4832816,,,,,
,,,166,Fri,Aug,20,12:19:46,2021,3518759,,,,4412,,
,,,167,Sat,Jul,31,02:42:05,2021,4469770,,,,4712,,
,,,168,Fri,Aug,,6,11:25:34,2021,7942552,,,,,
,,,169,Tue,Aug,17,21:17:32,2021,2493747,,,,4180,,
,,,170,Tue,Aug,,3,15:31:28,2021,8099060,,,,,
,,,171,Fri,Aug,20,22:50:25,2021,4492765,,,,4008,,
,,,172,Fri,Aug,,6,07:45:56,2021,5758058,,,,,
,,,173,Thu,Aug,19,00:24:55,2021,9496559,,,,4573,,
,,,174,Fri,Jul,30,02:24:22,2021,3174341,,,,4642,,
,,,175,Fri,Aug,13,05:55:34,2021,3318165,,,,4693,,
,,,176,Mon,Aug,,2,14:28:14,2021,7509515,,,,,
,,,177,Tue,Aug,,3,12:47:44,2021,367073,,,,VC965,
,,,178,Sun,Aug,,8,09:26:56,2021,8543348,,,,,
,,,179,Fri,Aug,20,04:16:14,2021,4588656,,,,4848,,
,,,180,Fri,Aug,20,04:22:16,2021,9706662,,,,4377,,
,,,181,Tue,Aug,10,03:28:33,2021,3359010,,,,4947,,
,,,182,Wed,Aug,18,11:24:47,2021,7639441,,,,4439,,
,,,183,Tue,Aug,,3,08:52:25,2021,9449600,,,,,
,,,184,Wed,Aug,11,06:39:10,2021,7572233,,,,4718,,
,,,185,Fri,Aug,20,03:23:49,2021,7096671,,,,4049,,
,,,186,Fri,Jul,30,23:54:00,2021,6218100,,,,4579,,
,,,187,Wed,Aug,11,07:11:55,2021,9500467,,,,4985,,
,,,188,Sun,Aug,15,20:41:12,2021,2551672,,,,4356,,
,,,189,Wed,Aug,18,18:28:36,2021,4423795,,,,4631,,
,,,190,Mon,Aug,,9,07:19:12,2021,1520424,,,,,
,,,191,Tue,Aug,10,16:39:12,2021,5680437,,,,4022,,
,,,192,Mon,Aug,,9,02:30:05,2021,1469208,,,,,
,,,193,Mon,Aug,,9,06:58:52,2021,9017449,,,,,
,,,194,Sat,Aug,,7,03:09:03,2021,9014873,,,,,
,,,195,Sat,Aug,,7,21:03:28,2021,6849933,,,,,
,,,196,Sun,Aug,,1,00:29:43,2021,1907386,,,,,
,,,197,Sun,Aug,,1,01:56:36,2021,5556619,,,,,
,,,198,Tue,Aug,17,00:22:53,2021,8724319,,,,4591,,
,,,199,Mon,Aug,,9,08:24:12,2021,4066334,,,,,
,,,200,Sat,Jul,31,19:46:31,2021,1208453,,,,4420,,
,,,201,Fri,Aug,,6,18:13:51,2021,8705286,,,,,
,,,202,Thu,Aug,12,00:17:15,2021,758555,,,,,,
,,,203,Tue,Aug,10,22:07:00,2021,7388283,,,,4026,,
,,,204,Sun,Aug,,8,07:16:20,2021,7589773,,,,,
,,,205,Wed,Aug,18,08:29:07,2021,2316095,,,,4953,,
,,,206,Tue,Aug,10,20:36:42,2021,1847455,,,,4923,,
,,,207,Fri,Aug,13,05:36:53,2021,7707016,,,,4283,,
,,,208,Sun,Aug,,1,04:10:44,2021,2616520,,,,,
,,,209,Sun,Aug,15,11:41:43,2021,8332760,,,,4560,,
,,,210,Mon,Aug,,9,05:19:02,2021,9677148,,,,,
,,,211,Wed,Aug,,4,19:23:36,2021,2695699,,,,,
,,,212,Fri,Aug,20,04:00:27,2021,1836057,,,,4775,,
,,,213,Wed,Aug,18,09:20:33,2021,7980271,,,,4414,,
,,,214,Sat,Jul,31,01:41:58,2021,9166253,,,,4915,,
,,,215,Mon,Aug,,2,20:26:27,2021,5966610,,,,,
,,,216,Tue,Aug,10,14:11:13,2021,8273227,,,,4909,,
,,,217,Tue,Aug,17,11:21:41,2021,4772310,,,,4497,,
,,,218,Thu,Aug,12,01:18:11,2021,401226,,,,,,
,,,219,Mon,Aug,,2,22:30:06,2021,5259884,,,,,
,,,220,Thu,Aug,12,13:20:29,2021,4560546,,,,4235,,
,,,221,Fri,Aug,,6,23:10:56,2021,3679257,,,,,
,,,222,Sun,Aug,,8,01:28:48,2021,5001460,,,,,
,,,223,Thu,Aug,12,14:26:03,2021,488809,,,,,,
,,,224,Sun,Aug,15,16:57:15,2021,4435309,,,,4188,,
,,,225,Fri,Aug,,6,17:35:18,2021,9206176,,,,,
,,,226,Sat,Aug,,7,03:08:44,2021,5665208,,,,,
,,,227,Sun,Aug,,1,05:31:31,2021,3619766,,,,,
,,,228,Wed,Aug,18,09:22:29,2021,8195160,,,,4123,,
,,,229,Wed,Aug,,4,05:40:04,2021,689804,,,,VCB43,
,,,230,Mon,Aug,16,02:36:38,2021,7671204,,,,4016,,
,,,231,Fri,Aug,,6,19:31:40,2021,7549660,,,,,
,,,232,Mon,Aug,,2,17:00:36,2021,6999001,,,,,
,,,233,Thu,Aug,12,15:17:57,2021,3470780,,,,4971,,
,,,234,Sat,Aug,,7,15:21:43,2021,3321932,,,,,
,,,235,Mon,Aug,,9,04:56:23,2021,2993477,,,,,
,,,236,Fri,Aug,13,09:02:27,2021,7137012,,,,4350,,
,,,237,Mon,Aug,,2,07:55:35,2021,4425207,,,,,
,,,238,Sat,Aug,14,11:54:16,2021,8906007,,,,4592,,
,,,239,Sat,Jul,31,04:23:09,2021,2613132,,,,4760,,
,,,240,Mon,Aug,16,01:53:03,2021,1351738,,,,5002,,
,,,241,Sat,Aug,14,11:49:22,2021,8845283,,,,4974,,
,,,242,Wed,Aug,18,19:07:34,2021,5207716,,,,4361,,
,,,243,Mon,Aug,,9,05:34:28,2021,2593435,,,,,
,,,244,Sat,Aug,14,08:00:30,2021,3194131,,,,4314,,
,,,245,Sat,Aug,14,08:01:53,2021,946473,,,,,,
,,,246,Mon,Aug,,2,19:28:13,2021,2098761,,,,,
,,,247,Wed,Aug,11,02:53:00,2021,7556070,,,,4515,,
,,,248,Fri,Aug,13,20:51:49,2021,7949412,,,,4531,,
,,,249,Mon,Aug,16,01:15:58,2021,4982057,,,,4070,,
,,,250,Sun,Aug,15,04:10:44,2021,1732371,,,,4891,,
,,,251,Sun,Aug,,8,23:50:15,2021,4012995,,,,,
,,,252,Wed,Aug,18,07:43:49,2021,2596237,,,,4672,,
,,,253,Mon,Aug,,2,17:51:59,2021,8381319,,,,,
,,,254,Wed,Aug,11,21:55:31,2021,5062265,,,,4049,,
,,,255,Mon,Aug,16,17:16:35,2021,7705983,,,,4748,,
,,,256,Thu,Jul,29,16:35:35,2021,2307979,,,,4654,,
,,,257,Mon,Aug,16,03:21:45,2021,2588561,,,,4890,,
,,,258,Sun,Aug,,8,12:39:42,2021,6847371,,,,,
,,,259,Tue,Aug,17,15:39:08,2021,2121085,,,,4709,,
,,,260,Tue,Aug,,3,01:37:46,2021,1734512,,,,,
,,,261,Tue,Aug,17,22:18:40,2021,7759834,,,,4306,,
,,,262,Mon,Aug,16,10:41:55,2021,6292412,,,,4436,,
,,,263,Fri,Aug,13,11:00:14,2021,866998,,,,,,
,,,264,Thu,Aug,12,23:25:40,2021,9057323,,,,4612,,
,,,265,Fri,Aug,,6,03:55:57,2021,8091650,,,,,
,,,266,Thu,Aug,,5,23:24:23,2021,2155384,,,,,
,,,267,Tue,Aug,,3,06:54:05,2021,1867583,,,,,
,,,268,Mon,Aug,16,07:28:50,2021,2703371,,,,4063,,
,,,269,Tue,Aug,,3,20:00:16,2021,8368036,,,,,
,,,270,Mon,Aug,16,07:03:18,2021,3418635,,,,4246,,
,,,271,Sun,Aug,15,16:44:18,2021,301035,,,,,,
,,,272,Thu,Aug,12,13:34:54,2021,4648848,,,,4234,,
,,,273,Fri,Aug,13,02:09:10,2021,758078,,,,,,
,,,274,Sat,Aug,,7,04:50:03,2021,1517284,,,,,
,,,275,Wed,Aug,,4,20:38:41,2021,5708944,,,,,
,,,276,Thu,Jul,29,20:17:07,2021,202496,,,,,,
,,,277,Thu,Jul,29,19:34:22,2021,6716922,,,,4575,,
,,,278,Sun,Aug,,8,03:23:33,2021,5536264,,,,,
,,,279,Sun,Aug,,8,07:34:29,2021,2105735,,,,,
,,,280,Sat,Jul,31,12:39:28,2021,8857993,,,,4551,,
,,,281,Mon,Aug,,9,15:56:14,2021,514282,,,,VC965,
,,,282,Fri,Aug,,6,23:44:18,2021,847307,,,,VCB43,
,,,283,Sat,Aug,,7,06:42:24,2021,2573891,,,,,
,,,284,Fri,Aug,,6,08:07:39,2021,9009917,,,,,
,,,285,Thu,Aug,19,14:34:35,2021,1701415,,,,4556,,
,,,286,Sat,Aug,,7,20:38:49,2021,5040531,,,,,
,,,287,Fri,Aug,20,13:15:02,2021,1297862,,,,4742,,
,,,288,Wed,Aug,,4,06:15:30,2021,1932822,,,,,
,,,289,Sat,Jul,31,21:51:59,2021,8569313,,,,4830,,
,,,290,Sun,Aug,,8,06:33:09,2021,6311114,,,,,
,,,291,Mon,Aug,16,06:11:04,2021,1451546,,,,4754,,
,,,292,Fri,Aug,20,13:36:58,2021,1711676,,,,4960,,
,,,293,Mon,Aug,,9,18:51:11,2021,6740804,,,,,
,,,294,Wed,Aug,18,12:19:24,2021,9049528,,,,4804,,
,,,295,Sun,Aug,15,08:30:45,2021,5269094,,,,4617,,
,,,296,Wed,Aug,11,13:15:58,2021,4753661,,,,4150,,
,,,297,Sat,Aug,14,09:06:09,2021,1948111,,,,4086,,
,,,298,Tue,Aug,17,00:00:26,2021,5894664,,,,4730,,
,,,299,Wed,Aug,11,04:51:17,2021,5455717,,,,4925,,
,,,300,Mon,Aug,,2,21:43:22,2021,1499647,,,,,
,,,301,Thu,Aug,,5,21:50:38,2021,2843245,,,,,
,,,302,Mon,Aug,16,04:30:00,2021,9796603,,,,4617,,
,,,303,Sun,Aug,,1,21:21:40,2021,5671860,,,,,
,,,304,Tue,Aug,17,04:20:26,2021,425972,,,,,,
,,,305,Tue,Aug,10,07:28:04,2021,7588083,,,,4089,,
,,,306,Wed,Aug,,4,03:45:21,2021,4816147,,,,,
,,,307,Thu,Aug,12,06:45:42,2021,461211,,,,,,
,,,308,Fri,Jul,30,07:48:58,2021,7091224,,,,4720,,
,,,309,Sat,Aug,14,03:11:57,2021,3540160,,,,4905,,
,,,310,Sat,Aug,21,01:26:42,2021,863358,,,,,,
,,,311,Sat,Aug,21,07:49:28,2021,2813269,,,,5000,,
,,,312,Sun,Aug,15,02:47:01,2021,4346673,,,,4360,,
,,,313,Mon,Aug,,9,05:22:43,2021,2872850,,,,,
,,,314,Thu,Aug,12,02:39:09,2021,6322565,,,,4781,,
,,,315,Tue,Aug,10,13:58:49,2021,2138116,,,,4706,,
,,,316,Sat,Aug,14,23:05:55,2021,9574626,,,,4678,,
,,,317,Thu,Aug,,5,18:17:26,2021,8951022,,,,,
,,,318,Sat,Jul,31,09:29:28,2021,6597551,,,,4229,,
,,,319,Sun,Aug,,8,22:50:36,2021,3348298,,,,,
,,,320,Fri,Jul,30,20:45:55,2021,846482,,,,,,
,,,321,Tue,Aug,,3,11:54:14,2021,6676389,,,,,
,,,322,Mon,Aug,,9,16:32:26,2021,5427260,,,,,
,,,323,Tue,Aug,17,07:58:48,2021,1653255,,,,4938,,
,,,324,Tue,Aug,17,19:16:31,2021,2976969,,,,4479,,
,,,325,Tue,Aug,17,10:01:21,2021,2959955,,,,4191,,
,,,326,Sun,Aug,,8,13:34:03,2021,8519579,,,,,
,,,327,Wed,Aug,,4,13:51:04,2021,340196,,,,VCB43,
,,,328,Sun,Aug,15,14:02:51,2021,1959570,,,,4700,,
,,,329,Tue,Aug,,3,14:46:46,2021,4214176,,,,,
,,,330,Sat,Aug,,7,11:24:50,2021,430612,,,,VCB43,
,,,331,Sat,Aug,,7,10:02:09,2021,2164841,,,,,
,,,332,Wed,Aug,18,15:40:47,2021,6533535,,,,4827,,
,,,333,Tue,Aug,17,10:44:33,2021,4798571,,,,4620,,
,,,334,Sun,Aug,15,18:22:49,2021,2760594,,,,4569,,
,,,335,Sat,Aug,14,12:31:44,2021,2304313,,,,4021,,
,,,336,Sat,Aug,,7,10:52:13,2021,2985337,,,,,
,,,337,Sat,Aug,21,09:14:47,2021,4227039,,,,4732,,
,,,338,Thu,Aug,,5,08:01:30,2021,1255970,,,,,
,,,339,Fri,Aug,13,01:03:49,2021,5241924,,,,4536,,
,,,340,Tue,Aug,,3,20:43:16,2021,7451832,,,,,
,,,341,Mon,Aug,,2,04:45:44,2021,3989343,,,,,
,,,342,Sat,Aug,14,18:14:30,2021,1804267,,,,4066,,
,,,343,Tue,Aug,17,17:11:29,2021,1589440,,,,4934,,
,,,344,Sat,Aug,21,19:27:45,2021,7750582,,,,5010,,
,,,345,Sun,Aug,,8,12:34:50,2021,116476,,,,VC965,
,,,346,Fri,Aug,20,07:15:06,2021,2617674,,,,4887,,
,,,347,Tue,Aug,10,21:55:17,2021,4228191,,,,4996,,
,,,348,Mon,Aug,,9,14:43:31,2021,109141,,,,VCD2F,
,,,349,Wed,Aug,11,16:55:19,2021,5065439,,,,4927,,
,,,350,Sun,Aug,22,15:33:59,2021,1852318,,,,4091,,
,,,351,Tue,Aug,17,19:49:02,2021,3191217,,,,4105,,
,,,352,Fri,Aug,20,13:55:39,2021,8036070,,,,4721,,
,,,353,Thu,Jul,29,17:40:36,2021,7270810,,,,4908,,
,,,354,Sat,Jul,31,07:08:17,2021,4800433,,,,4733,,
,,,355,Sun,Aug,15,14:59:08,2021,7600086,,,,4730,,
,,,356,Mon,Aug,16,20:41:37,2021,1308715,,,,4491,,
,,,357,Thu,Aug,19,16:46:20,2021,448292,,,,,,
,,,358,Tue,Aug,,3,10:52:15,2021,8125706,,,,,
,,,359,Sat,Aug,,7,22:39:54,2021,7354020,,,,,
,,,360,Fri,Aug,20,12:45:43,2021,8604614,,,,4355,,
,,,361,Mon,Aug,16,04:34:39,2021,8074052,,,,4252,,
,,,362,Tue,Aug,17,21:02:38,2021,3137291,,,,4669,,
,,,363,Mon,Aug,,2,07:57:43,2021,7817055,,,,,
,,,364,Mon,Aug,,2,23:55:35,2021,9979009,,,,,
,,,365,Wed,Aug,18,07:46:35,2021,7381741,,,,4470,,
,,,366,Tue,Aug,10,09:53:24,2021,6413555,,,,4517,,
,,,367,Thu,Aug,,5,09:24:17,2021,5271350,,,,,
,,,368,Sat,Aug,21,02:13:24,2021,5887331,,,,4995,,
,,,369,Fri,Aug,13,03:38:51,2021,2484968,,,,4616,,
,,,370,Sun,Aug,15,21:25:06,2021,2023578,,,,4124,,
,,,371,Sat,Aug,14,14:44:43,2021,2574839,,,,4133,,
,,,372,Sat,Aug,21,11:27:08,2021,192172,,,,,,
,,,373,Sat,Jul,31,09:30:08,2021,1794758,,,,4190,,
,,,374,Tue,Aug,,3,14:17:39,2021,254824,,,,VC965,
,,,375,Sun,Aug,,8,21:51:35,2021,8317981,,,,,
,,,376,Wed,Aug,11,15:12:48,2021,7578701,,,,4222,,
,,,377,Thu,Aug,,5,12:56:57,2021,2555513,,,,,
,,,378,Tue,Aug,17,01:48:59,2021,2119264,,,,4446,,
,,,379,Sat,Aug,21,20:51:46,2021,239988,,,,,,
,,,380,Mon,Aug,16,11:08:11,2021,147156,,,,,,
,,,381,Sun,Aug,,8,18:05:36,2021,6891565,,,,,
,,,382,Fri,Aug,,6,20:55:48,2021,4765841,,,,,
,,,383,Fri,Aug,,6,10:14:37,2021,9017443,,,,,
,,,384,Sat,Aug,21,21:23:37,2021,8747053,,,,4080,,
,,,385,Sat,Jul,31,03:38:36,2021,839289,,,,,,
,,,386,Sun,Aug,15,14:11:42,2021,7212737,,,,4121,,
,,,387,Sat,Jul,31,22:09:56,2021,9707238,,,,4799,,
,,,388,Mon,Aug,16,23:15:11,2021,9288974,,,,4748,,
,,,389,Fri,Jul,30,20:43:48,2021,2130769,,,,4693,,
,,,390,Tue,Aug,10,02:13:35,2021,3651531,,,,4750,,
,,,391,Sun,Aug,22,16:20:32,2021,5066582,,,,4165,,
