,Number of axles,Tollplaza id,Tollplaza code
254,2,4748,PCF2ECD29
255,2,4654,PCBA5D8AB
256,2,4890,PCAFC8A56
257,2,4972,PCC51AD39
258,2,4709,PCC8C7059
259,2,4788,PC00AE965
260,4,4306,PC5D6563A
261,2,4436,PC0CF9451
262,2,4039,PC73BE1E2
263,4,4612,PC871C1FC
264,2,4686,PCD6E5E77
265,2,4314,PC7E9E8F3
266,2,4608,PCACD1BEE
267,4,4063,PC7667A3E
268,2,4944,PC41EEC34
269,4,4246,PC95F5F6B
270,2,4438,PC665A28E
271,2,4234,PC5EBC1E1
272,2,4050,PC822E359
273,2,4721,PCE937423
274,2,4130,PC9F22103
275,2,4852,PC68969FB
276,4,4575,PC84D9FC1
277,2,4326,PC356AE8F
278,2,4694,PCBCF42C2
279,2,4551,PCCA5979C
280,2,4775,PCA50FB36
281,4,4146,PCF91266E
282,2,4042,PC5D4DE09
283,2,4904,PC36C6441
284,4,4556,PC18C31F6
285,2,4812,PC22D9C6D
286,2,4742,PC05B8749
287,2,4788,PC00AE965
288,2,4830,PC12EEFE0
289,2,4218,PC8DF4919
290,2,4754,PC99AE725
291,2,4960,PC6A1BCA4
292,2,4090,PC1EE951B
293,2,4804,PC68484C6
294,2,4617,PC7758F89
295,2,4150,PCC8441A8
296,2,4086,PC23E470D
297,2,4730,PC7DC0964
298,4,4925,PCE5E04A2
299,2,4629,PCC5E1C04
300,4,4286,PC12BE494
301,4,4617,PC7758F89
302,2,4556,PC18C31F6
303,4,4183,PCF5E7754
304,2,4089,PC3CCA187
305,2,4230,PC19CE0DB
306,2,4615,PC1ECBA39
307,2,4720,PCDD23528
308,2,4905,PCE1EA438
309,2,4758,PCCE12794
310,4,5000,PCFE7F7FE
311,2,4360,PC084F676
312,4,4746,PC0514825
313,2,4781,PC0D83A1E
314,2,4706,PCD8D5094
315,2,4678,PCD175301
316,2,4125,PC8AAEF51
317,4,4229,PCD0DDD3D
318,2,4100,PCC6DD8D5
319,2,4812,PC22D9C6D
320,2,4574,PCC1F6F13
321,2,4902,PC425C6EC
322,4,4938,PC6C57ED3
323,2,4479,PCCA36E4D
324,2,4191,PCCC28F87
325,2,4278,PC4847214
326,4,4025,PC5ABB8E4
327,4,4700,PC14E538A
328,2,4145,PC5FBE4B8
329,4,4894,PCDADB8C6
330,2,4509,PCA2E8463
331,2,4827,PC7D68CD9
332,4,4620,PC43973F9
333,2,4569,PC20129F9
334,4,4021,PC851E565
335,2,4838,PCEECD973
336,2,4732,PCD83DE25
337,4,4691,PCFAB001F
338,4,4536,PCC6C5CFB
339,2,4898,PC0AE9E1B
340,4,4267,PCE51C5C7
341,2,4066,PC883FCA9
342,4,4934,PC3ED26A2
343,2,5010,PC028872C
344,2,4325,PC8FC83B3
345,2,4887,PC81776BA
346,2,4996,PC6A4F55F
347,2,4974,PCDEB8E32
348,2,4927,PC2D22627
349,4,4091,PC2E099B4
350,2,4105,PC43919D1
351,2,4721,PCE937423
352,2,4908,PC3D16FC5
353,2,4733,PC797AEBF
354,2,4730,PC7DC0964
355,4,4491,PCA52F720
356,2,4827,PC7D68CD9
357,4,4902,PC425C6EC
358,4,4967,PC2AFCB31
359,2,4355,PC0EF761B
360,2,4252,PCA32686D
361,2,4669,PC36675CE
362,2,4051,PC3B970F2
363,2,4139,PC924C594
364,2,4470,PCB4FF8FA
365,2,4517,PC9AF321D
366,2,4175,PC08EA270
367,2,4995,PCBE6ABE5
368,2,4616,PCE6675F9
369,2,4124,PC3338D42
370,2,4133,PC30FC453
371,4,4687,PC52E7369
372,4,4190,PCDFC1E11
373,2,4670,PC2BE6D87
374,4,4368,PC909A324
375,2,4222,PC15EC378
376,2,4184,PC43A5E42
377,2,4446,PC7F1A5B9
378,2,4042,PC5D4DE09
379,2,4396,PCA00BC1C
380,2,4855,PC03C5C15
381,2,5004,PC2111CF9
382,2,4243,PCC4F7DCE
383,2,4080,PCBE7E15B
384,4,4468,PC040ADB3
385,2,4121,PCEC57A8E
386,4,4799,PCC3A370A
387,2,4748,PCF2ECD29
388,2,4693,PCB4CDDA5
389,2,4750,PCD987A9D
390,2,4165,PC0D2B95C
391,2,4384,PC59A33DE
392,2,4929,PC9E503B6
393,2,4394,PCD3A817A
394,2,4931,PC3D30AD0
395,2,4644,PC411FDC0
396,4,4023,PC77793DF
397,2,4534,PCAD9E1F9
398,2,4835,PC4645718
399,4,4280,PC03A5F23
400,4,4266,PC39B17A9
401,2,4540,PC5CAF0A7
402,2,5010,PC028872C
403,4,4048,PC1FE6483
404,4,4810,PC2CA4087
405,2,4147,PC4D2C5A7
406,2,4082,PCF86214E
407,4,4078,PC8473A64
408,2,4695,PC4A5D62F
409,2,4973,PC9C7C18E
410,2,4699,PC2C1B987
411,4,4136,PCA579A65
412,2,4106,PC9764C98
413,4,4468,PC040ADB3
414,2,4134,PC767BBB2
415,4,4422,PCF514246
416,2,4273,PC0EF5BA6
417,2,4892,PC7AA5B2F
418,2,4230,PC19CE0DB
419,4,4240,PC72FE04B
420,2,4342,PCE7F2748
421,2,4605,PCEB27C63
422,4,4188,PCDB12C82
423,2,4001,PC58105BF
424,2,4971,PC0BD172F
425,2,4456,PC8DFF744
426,2,4975,PC818101A
427,2,4643,PC6713209
428,2,4386,PC948D5B2
429,2,4671,PCCAAFB48
430,4,4785,PC787D664
431,2,4698,PC8BCEB19
432,2,4167,PC8453073
433,2,4917,PCD8C66B1
434,2,4409,PC44E2F09
435,4,4007,PCDF9F773
436,2,5008,PC48D61BB
437,2,4574,PCC1F6F13
438,4,4712,PC94168A2
439,2,4056,PC9FBBA67
440,2,4610,PCA4D3E9B
441,2,4558,PC575F591
442,2,4589,PC1477DC9
443,2,4581,PCC347465
444,4,4802,PCBDD55F1
445,2,4722,PC035B71E
446,2,4223,PCA37D114
447,2,4576,PC394C979
448,2,4128,PCC0E7E2A
449,4,4063,PC7667A3E
450,2,4475,PCCC0D001
451,2,4888,PC46C55B4
452,4,4986,PC9787B8A
453,2,4172,PC1A43FB7
454,4,4374,PCC321538
455,4,4027,PCE7A4F34
456,2,4072,PC69F3F14
457,2,4067,PC1CCD955
458,2,4596,PC6558A56
459,2,4729,PC5170BF4
460,2,4451,PCF95BF53
461,2,4419,PC99BB7A3
462,2,4920,PC42A3AB0
463,2,4991,PC5B5C16D
464,2,4622,PCF31BD97
465,2,4642,PC17D596F
466,2,4158,PCAA68777
467,2,4392,PCAF6E464
468,2,4091,PC2E099B4
469,4,4838,PCEECD973
470,2,4328,PC3777B8E
471,2,4038,PC77889B3
472,4,4129,PCA6127FF
473,2,4478,PCB02917E
474,2,4879,PCC90A061
475,2,4924,PCE3427C5
476,2,4215,PC4C76F48
477,4,4385,PC148C815
478,2,4585,PCF3AE602
479,4,4060,PC481C9F9
480,4,4839,PCA0290AD
481,2,4442,PC05C2F86
482,2,4183,PCF5E7754
483,2,4476,PC439FA2D
484,2,4753,PC6AA246E
485,2,4437,PCBE6CB59
486,2,4418,PCF6EECB2
487,2,4032,PC578F087
488,2,4835,PC4645718
489,2,4909,PCDED6F20
490,2,4036,PCE6CC50C
491,4,4096,PCFA4F864
492,2,4081,PCC825DB2
493,4,4573,PC4D8469D
494,4,4675,PCE49911B
495,2,4480,PC9A343F9
496,2,4293,PC2A27502
497,2,4749,PC65C93B7
498,2,4110,PCF891CEB
499,2,4569,PC20129F9
500,2,4656,PC63844BC
501,4,4983,PCC3E4ADA
502,4,4289,PCF621E92
503,4,4860,PCF4A2DA9
504,2,4130,PC9F22103
505,2,4199,PC7CCC47B
506,2,4138,PC79E328A
507,4,4234,PC5EBC1E1
508,2,4084,PC71D433F
509,2,4711,PC340B4DE
510,4,4499,PC1EEDA04
511,2,4709,PCC8C7059
512,2,4452,PC8C7C5D7
513,2,4519,PC92A6471
514,4,4420,PCFDB2950
515,2,4838,PCEECD973
516,2,4203,PC5295A46
517,4,4447,PC6B030C6
518,2,4159,PC5631507
519,4,4276,PC4E15B39
520,2,4037,PC0A50259
521,2,4332,PC3B258E9
522,4,4654,PCBA5D8AB
523,4,4787,PC1BDA119
524,2,4864,PC259547F
525,2,4689,PC89C35AD
526,2,4646,PC3F8C42B
527,4,4767,PC61F3A80
528,2,4596,PC6558A56
529,2,4616,PCE6675F9
530,2,4848,PCF0FC9B2
531,2,4747,PC5E524A1
532,2,4739,PC07289CF
533,2,4655,PCF9CAB22
534,2,4473,PC51FDD60
535,4,4445,PC796A888
536,2,4189,PC7655FC1
537,2,4206,PCAC34A40
538,2,4436,PC0CF9451
539,2,4658,PC1A58039
540,2,4755,PC628DCED
541,2,4173,PC0EB640E
542,2,4522,PC0A326BE
543,4,4856,PC7C042B7
544,2,4669,PC36675CE
545,2,4096,PCFA4F864
546,2,4383,PC4BFE950
547,2,4155,PC9042B3F
548,2,4402,PC85224D1
549,4,4904,PC36C6441
550,2,4282,PCCE002E5
551,2,4553,PC1D57D7F
552,2,4318,PCAD89FE3
553,2,4605,PCEB27C63
554,2,4622,PCF31BD97
555,2,4352,PC99B9343
556,2,4142,PC7ACFF7C
557,2,4739,PC07289CF
558,2,4575,PC84D9FC1
559,4,4538,PCDE5402C
560,4,4497,PC76FDDEA
561,2,4728,PC07BF95F
562,2,4881,PCDE20E6F
563,2,4855,PC03C5C15
564,4,4836,PCE78024A
565,4,4106,PC9764C98
566,4,4448,PC19F3DBB
567,2,4518,PCC7B407A
568,2,4506,PCB24B68E
569,2,4181,PC4457F74
570,2,4423,PCF9F4940
571,2,4379,PC87C8BC4
572,2,4427,PCD70DDDF
573,4,4985,PCCA71D2C
574,2,4494,PC1592ACA
575,2,4472,PC303DD56
576,2,4222,PC15EC378
577,4,4690,PC45CC19A
578,2,4447,PC6B030C6
579,4,4422,PCF514246
580,4,4225,PCC1ED0C5
581,2,4793,PCD8E3CCB
582,2,4502,PCB2CC82C
583,2,4324,PC9C3D708
584,2,4476,PC439FA2D
585,2,4525,PCF64B519
586,4,4048,PC1FE6483
587,4,4737,PCED7EAFE
588,2,4726,PCF6540C0
589,2,4371,PC7E22FD8
590,2,4188,PCDB12C82
591,2,4961,PC92C5115
592,2,4913,PC685427C
593,2,4071,PCDBBCB68
594,2,4127,PCA2D76A5
595,2,4207,PC76EDF79
596,2,4882,PC8616CD8
597,4,4000,PC69C7DF3
598,4,4906,PC3D58C5E
599,4,4196,PC4B8A835
600,2,4125,PC8AAEF51
601,2,4349,PC5AB6779
602,2,4197,PCE32ED40
603,2,4763,PCC62D342
604,2,4933,PC419F41D
605,2,4032,PC578F087
606,2,4706,PCD8D5094
607,2,4538,PCDE5402C
608,2,4384,PC59A33DE
609,2,4400,PC3BD7D63
610,2,4035,PC1B1D964
611,2,4709,PCC8C7059
612,2,4876,PCDFCFF53
613,2,4770,PC9082A17
614,2,4472,PC303DD56
615,2,4364,PCB33ACE8
616,2,4797,PCE2D63A7
617,2,4697,PCFDB2BA6
618,2,5006,PC7A260F1
619,2,4154,PC2C2EF9E
620,2,4678,PCD175301
621,2,4919,PC7A3A5CF
622,2,4030,PCA8A9AA8
623,2,4638,PCB7AC8AA
624,2,4810,PC2CA4087
625,2,4343,PC0F6325D
626,2,4427,PCD70DDDF
627,4,4434,PCA491459
628,2,4323,PC1D9ADA9
629,2,4260,PC1A4796C
630,2,4621,PC9FB4E82
631,2,4334,PCCB383F8
632,2,4507,PC11DCA73
633,4,4846,PCBABD060
634,2,4927,PC2D22627
635,2,4736,PC6A65941
636,4,4793,PCD8E3CCB
637,2,4453,PC5EC8DF5
638,2,4875,PC40FC710
639,2,4435,PC3E78C17
640,2,4254,PC0C0EE22
641,2,4664,PC52D063A
642,2,4876,PCDFCFF53
643,2,4270,PC8F72158
644,2,4003,PC83F544D
645,2,4490,PC89C1789
646,4,4872,PC5B45CE7
647,2,4358,PC32FB72C
648,2,4596,PC6558A56
649,2,4519,PC92A6471
650,2,4470,PCB4FF8FA
651,2,4550,PC21A1833
652,2,4266,PC39B17A9
653,2,4895,PC37F171A
654,4,4711,PC340B4DE
655,2,4997,PC8111910
656,4,4131,PC4C9B108
657,2,4809,PCAD363FC
658,2,4908,PC3D16FC5
659,2,4369,PCD5CBB82
660,2,4226,PCDC5C9E2
661,2,4273,PC0EF5BA6
662,2,4183,PCF5E7754
663,2,4123,PCDE850D8
664,2,4879,PCC90A061
665,2,4258,PCAC64E67
666,2,4061,PC3A63A79
667,4,4369,PCD5CBB82
668,2,4223,PCA37D114
669,2,4010,PC3A7AACB
670,2,4502,PCB2CC82C
671,4,4114,PC4CD2B81
672,2,4489,PCEFF6088
673,2,4370,PC70B7987
674,4,4951,PCE9CE23F
675,4,4231,PC016D687
676,2,4172,PC1A43FB7
677,4,4330,PCBD023A3
678,4,4218,PC8DF4919
679,2,4541,PCC6A4CD8
680,2,4297,PCDE89544
681,2,4920,PC42A3AB0
682,2,4797,PCE2D63A7
683,2,4267,PCE51C5C7
684,4,4741,PC85A4D4B
685,2,4371,PC7E22FD8
686,2,4892,PC7AA5B2F
687,2,4383,PC4BFE950
688,2,4951,PCE9CE23F
689,2,4442,PC05C2F86
690,2,4694,PCBCF42C2
691,4,4194,PC96AD1EB
692,2,4872,PC5B45CE7
693,2,4194,PC96AD1EB
694,4,4282,PCCE002E5
695,4,4202,PC65AA714
696,2,4067,PC1CCD955
697,2,4405,PC70CA955
698,2,4822,PCD1EB220
699,2,4100,PCC6DD8D5
700,2,4362,PC670999C
701,4,4655,PCF9CAB22
702,4,4206,PCAC34A40
703,2,4909,PCDED6F20
704,2,4635,PC3C8B99E
705,2,4378,PC074E6A8
706,2,4808,PC2729737
707,4,4302,PCBA83119
708,2,4221,PC90AAFDA
709,2,4387,PCE2B9376
710,2,4904,PC36C6441
711,2,4465,PCA227C6B
712,2,4863,PCA8F9E50
713,4,4965,PCA0BAE0F
714,4,4412,PC821BC98
715,4,4861,PC670F1AC
716,4,4420,PCFDB2950
717,2,4026,PC2CE9851
718,2,4108,PC7C55512
719,2,4123,PCDE850D8
720,2,4313,PC6D0FC31
721,2,4936,PC7157CF3
722,4,4631,PCFFF6463
723,4,4326,PC356AE8F
724,2,4030,PCA8A9AA8
725,4,4654,PCBA5D8AB
726,2,4519,PC92A6471
727,2,4544,PC1893678
728,4,4671,PCCAAFB48
729,4,4354,PC0671DD4
730,4,4989,PC7D7AE48
731,4,4155,PC9042B3F
732,2,4801,PC119E3A6
733,2,4570,PCAE45EC0
734,2,4134,PC767BBB2
735,2,4071,PCDBBCB68
736,2,4183,PCF5E7754
737,4,4099,PC97F19B1
738,4,4153,PC88C655C
739,4,4219,PC40E6113
740,2,4786,PCB7F1F8A
741,2,4149,PC99F9ABD
742,4,4967,PC2AFCB31
743,2,4574,PCC1F6F13
744,2,4506,PCB24B68E
745,2,4532,PC8DD921E
746,4,4624,PCDF73A3C
747,2,4219,PC40E6113
748,2,5003,PCAC9371E
749,4,4209,PC494D54E
750,4,4736,PC6A65941
751,2,4733,PC797AEBF
752,2,4387,PCE2B9376
753,4,4303,PC2E2E0C0
754,2,4720,PCDD23528
755,2,4661,PC1585DF2
756,2,4539,PC684859B
757,4,4373,PC8806694
758,4,4303,PC2E2E0C0
759,2,4405,PC70CA955
760,2,4396,PCA00BC1C
761,2,4894,PCDADB8C6
762,2,4712,PC94168A2
763,4,4953,PC1E2B07E
764,2,4256,PC9DD0BBD
765,4,4575,PC84D9FC1
766,4,4585,PCF3AE602
767,2,4631,PCFFF6463
768,2,4798,PC17F8052
769,2,4421,PCED2DB6F
770,2,4911,PCBEF8EE1
771,2,4062,PCDA37101
772,4,4628,PC34C1DCB
773,2,4698,PC8BCEB19
774,4,4249,PC6D2FAD0
775,2,4958,PC8A8976A
776,2,4282,PCCE002E5
777,2,4182,PC5EBB0FA
778,4,4727,PC52E71B8
779,2,4326,PC356AE8F
780,2,4462,PCE29AA1A
781,2,4671,PCCAAFB48
782,2,4627,PCA965149
783,2,4749,PC65C93B7
784,4,4015,PC524833E
785,2,4643,PC6713209
786,2,4130,PC9F22103
787,4,4209,PC494D54E
788,4,4257,PC1AB9C93
789,2,4097,PCB1B5BEC
790,2,4882,PC8616CD8
791,2,4556,PC18C31F6
792,4,4130,PC9F22103
793,2,4198,PCB0994D1
794,4,4373,PC8806694
795,2,4836,PCE78024A
796,2,4769,PC10C50DC
797,2,4370,PC70B7987
798,2,4959,PC4A7B00C
799,2,4746,PC0514825
800,2,4548,PC4486317
801,2,4474,PCFEAE55E
802,4,4259,PCBB65EF4
803,2,4064,PC0B32B5B
804,2,4889,PC3547FAD
805,4,4263,PCD6DBA1D
806,2,4595,PC64281F6
807,4,4423,PCF9F4940
808,2,4673,PC66E7418
809,2,4314,PC7E9E8F3
810,4,4446,PC7F1A5B9
811,2,4750,PCD987A9D
812,2,4909,PCDED6F20
813,2,4693,PCB4CDDA5
814,4,4748,PCF2ECD29
815,2,4595,PC64281F6
816,2,4900,PCFE8B604
817,4,4319,PCAD79413
818,4,4749,PC65C93B7
819,2,4650,PC544AE70
820,2,4628,PC34C1DCB
821,2,4307,PC87D90FE
822,2,4699,PC2C1B987
823,2,4289,PCF621E92
824,2,4427,PCD70DDDF
825,2,4543,PC74F5EBA
826,2,4260,PC1A4796C
827,4,4227,PCD8346A6
828,2,4491,PCA52F720
829,2,4207,PC76EDF79
830,2,4595,PC64281F6
831,2,4146,PCF91266E
832,2,4947,PCE4A44BE
833,2,4350,PCEDD7E85
834,4,4585,PCF3AE602
835,2,4741,PC85A4D4B
836,2,4065,PC3B514E2
837,4,4936,PC7157CF3
838,4,4340,PC3A6DBC9
839,2,4323,PC1D9ADA9
840,2,4246,PC95F5F6B
841,2,4729,PC5170BF4
842,4,4848,PCF0FC9B2
843,4,4745,PC6397888
844,2,4115,PCF5D4B0A
845,4,4256,PC9DD0BBD
846,4,4477,PCA857A23
847,2,4162,PC51A39A7
848,2,4812,PC22D9C6D
849,2,4070,PCEECA8B2
850,2,4548,PC4486317
851,4,4394,PCD3A817A
852,2,4944,PC41EEC34
853,4,4091,PC2E099B4
854,2,4229,PCD0DDD3D
855,4,4587,PC576A3BA
856,2,4657,PCC591410
857,4,4347,PC3EC1FDF
858,2,4588,PC3172195
859,2,4847,PCD546332
860,2,4490,PC89C1789
861,2,4651,PC12D9486
862,2,4667,PCD540B2F
863,2,4064,PC0B32B5B
864,2,4932,PC46C4A27
865,2,4149,PC99F9ABD
866,2,4639,PC879E7AB
867,2,4698,PC8BCEB19
868,2,4939,PCF263A5E
869,2,4231,PC016D687
870,2,4683,PC96978C6
871,2,4794,PC4E1366E
872,4,4632,PCC1FFE5B
873,4,4242,PCECC4DE2
874,2,4424,PC51E7EF8
875,2,4301,PC540E129
876,2,4681,PCBEB4D23
877,2,4847,PCD546332
878,2,4488,PC19D06B0
879,2,4762,PC1A3D20B
880,2,4600,PCB99E8F9
881,2,4930,PC22F748B
882,2,4912,PC526B1EC
883,2,4487,PCA92F2BD
884,4,4990,PCFE28E92
885,2,4898,PC0AE9E1B
886,2,4560,PC5030572
887,2,4057,PC4B0DCD2
888,2,4308,PC94E7A96
889,2,4677,PCA9D6EEE
890,2,4674,PC795E7B9
891,2,4269,PCC7106FF
892,2,4820,PCC30C735
893,2,4350,PCEDD7E85
894,2,4031,PC0214185
895,2,4420,PCFDB2950
896,2,4123,PCDE850D8
897,2,4127,PCA2D76A5
898,2,4886,PC4D892D7
899,2,4443,PCC139BD8
900,4,4142,PC7ACFF7C
901,4,4904,PC36C6441
902,2,4841,PCE45DE8D
903,2,4253,PC82A16E6
904,2,4737,PCED7EAFE
905,2,4486,PC3AF69A3
906,2,4112,PCEA652A8
907,2,5005,PC408264D
908,4,4313,PC6D0FC31
909,4,4362,PC670999C
910,2,4047,PC6D105CF
911,4,4400,PC3BD7D63
912,2,4306,PC5D6563A
913,2,4688,PCCB4C86D
914,2,5007,PC869BDE8
915,2,4030,PCA8A9AA8
916,2,4007,PCDF9F773
917,2,4632,PCC1FFE5B
918,2,4888,PC46C55B4
919,2,4988,PC46BE0B2
920,4,4142,PC7ACFF7C
921,4,4784,PCDB42B34
922,2,4240,PC72FE04B
923,4,4283,PC953B572
924,2,4513,PC52F533C
